trans_id,lang,translation
付知のぞみ幼稚園,ja,付知のぞみ幼稚園
付知のぞみ幼稚園,ja-Hrkt,つけちのぞみようちえん
付知のぞみ幼稚園,en,Tsukechi Nozomi youchien
付知公民館,ja,付知公民館
付知公民館,ja-Hrkt,つけちこうみんかん
付知公民館,en,Tsukechi Kouminkan
付知北小学校,ja,付知北小学校
付知北小学校,ja-Hrkt,つけちきたしょうがっこう
付知北小学校,en,Tsukechi Kita shogakko
付知南小学校,ja,付知南小学校
付知南小学校,ja-Hrkt,つけちみなみしょうがっこう
付知南小学校,en,Tsukechi Minami shogakko
付知峡不動公園口,ja,付知峡不動公園口
付知峡不動公園口,ja-Hrkt,つけちきょうふどうこうえんぐち
付知峡不動公園口,en,Tsukechikyo Fudokoen guchi
付知峡倉屋温泉,ja,付知峡倉屋温泉
付知峡倉屋温泉,ja-Hrkt,つけちきょうくらやおんせん
付知峡倉屋温泉,en,Tsukechikyo Kuraya Onsen
倉屋,ja,倉屋
倉屋,ja-Hrkt,くらや
倉屋,en,Kuraya
元庄屋前,ja,元庄屋前
元庄屋前,ja-Hrkt,もとじやまえ
元庄屋前,en,Motojiya-mae
先庄屋,ja,先庄屋
先庄屋,ja-Hrkt,せんじょうや
先庄屋,en,Senjoya
八屋砥整田碑,ja,八屋砥整田碑
八屋砥整田碑,ja-Hrkt,はちやどせいでんひ
八屋砥整田碑,en,Hachiyado seidenhi
八布施,ja,八布施
八布施,ja-Hrkt,はちぶせ
八布施,en,Hachibuse
八布施集会場,ja,八布施集会場
八布施集会場,ja-Hrkt,はちぶせしゅうかいじょう
八布施集会場,en,Hachibuse shukaijo
八幡神社,ja,八幡神社
八幡神社,ja-Hrkt,はちまんじんじゃ
八幡神社,en,Hachiman jinja
公会堂下,ja,公会堂下
公会堂下,ja-Hrkt,こうかいどうした
公会堂下,en,koukaido-shita
六地蔵,ja,六地蔵
六地蔵,ja-Hrkt,ろくじぞう
六地蔵,en,Rokujizou
加子母歯科診療所,ja,加子母歯科診療所
加子母歯科診療所,ja-Hrkt,かしもしかしんりょうじょ
加子母歯科診療所,en,Kashimo shika shinryojo
加子母総合事務所,ja,加子母総合事務所
加子母総合事務所,ja-Hrkt,かしもそうごうじむしょ
加子母総合事務所,en,Kashimo Sougou Jimusho
加子母郵便局,ja,加子母郵便局
加子母郵便局,ja-Hrkt,かしもゆうびんきょく
加子母郵便局,en,Kashimo yubinkyoku
勤彊の森,ja,勤彊の森
勤彊の森,ja-Hrkt,きんきょうのもり
勤彊の森,en,Kinkyonomori
十一屋,ja,十一屋
十一屋,ja-Hrkt,じゅういちや
十一屋,en,Juichiya
南ふれあいセンター,ja,南ふれあいセンター
南ふれあいセンター,ja-Hrkt,みなみふれあいせんたー
南ふれあいセンター,en,Minami fureai center
博石館裏,ja,博石館裏
博石館裏,ja-Hrkt,はくせきかんうら
博石館裏,en,Hakusekikan-ura
吉金橋,ja,吉金橋
吉金橋,ja-Hrkt,よしかねばし
吉金橋,en,yoshikanebashi
向山（付知）,ja,向山（付知）
向山（付知）,ja-Hrkt,むかいやま
向山（付知）,en,Mukaiyama
向山（落合）,ja,向山（落合）
向山（落合）,ja-Hrkt,むかいやま
向山（落合）,en,Mukaiyama
向山下,ja,向山下
向山下,ja-Hrkt,むかいやました
向山下,en,Mukaiyama-shita
向山橋,ja,向山橋
向山橋,ja-Hrkt,むかいやまばし
向山橋,en,Mukaiyamabashi
向山辻,ja,向山辻
向山辻,ja-Hrkt,むかいやまつじ
向山辻,en,Mukaiyama tsuji
向田瀬,ja,向田瀬
向田瀬,ja-Hrkt,むかいだせ
向田瀬,en,Mukaidase
向畑住宅,ja,向畑住宅
向畑住宅,ja-Hrkt,むかいばたじゅうたく
向畑住宅,en,Mukaibata Jutaku
和田口,ja,和田口
和田口,ja-Hrkt,わだぐち
和田口,en,Wadaguchi
四辻,ja,四辻
四辻,ja-Hrkt,よつじ
四辻,en,yotsuji
回生堂医院,ja,回生堂医院
回生堂医院,ja-Hrkt,かいせいどういいん
回生堂医院,en,Kaiseido iin
土田クラブ,ja,土田クラブ
土田クラブ,ja-Hrkt,どたくらぶ
土田クラブ,en,Dota kurabu
坂下中学校横,ja,坂下中学校横
坂下中学校横,ja-Hrkt,さかしたちゅうがっこうよこ
坂下中学校横,en,Sakashita chugakko-yoko
坂下保育園前,ja,坂下保育園前
坂下保育園前,ja-Hrkt,さかしたほいくえんまえ
坂下保育園前,en,Sakashita hoikuen-mae
坂下公民館,ja,坂下公民館
坂下公民館,ja-Hrkt,さかしたこうみんかん
坂下公民館,en,Sakashita kouminkan
坂下処理場前,ja,坂下処理場前
坂下処理場前,ja-Hrkt,さかしたしょりじょうまえ
坂下処理場前,en,Sakashita shorijo-mae
坂下小学校横,ja,坂下小学校横
坂下小学校横,ja-Hrkt,さかしたしょうがっこうよこ
坂下小学校横,en,Sakashita shogakko-yoko
坂下新橋,ja,坂下新橋
坂下新橋,ja-Hrkt,さかしたしんばし
坂下新橋,en,Sakashita shinbashi
坂下橋,ja,坂下橋
坂下橋,ja-Hrkt,さかしたばし
坂下橋,en,Sakashitabashi
坂下浄水場前,ja,坂下浄水場前
坂下浄水場前,ja-Hrkt,さかしたじょうすいじょうまえ
坂下浄水場前,en,Sakashita josuijo-mae
坂下総合体育館前,ja,坂下総合体育館前
坂下総合体育館前,ja-Hrkt,さかしたそうごうたいいくかんまえ
坂下総合体育館前,en,Sakashita sougo taiikukan-mae
坂下診療所,ja,坂下診療所
坂下診療所,ja-Hrkt,さかしたしんりょうじょ
坂下診療所,en,Sakashita Shinryojo(Sakashita Hospital)
坂下郵便局前,ja,坂下郵便局前
坂下郵便局前,ja-Hrkt,さかしたゆうびんきょくまえ
坂下郵便局前,en,Sakashita yubinkyoku-mae
坂下駅前,ja,坂下駅前
坂下駅前,ja-Hrkt,さかしたえきまえ
坂下駅前,en,Sakashita Eki-mae
堀懸橋,ja,堀懸橋
堀懸橋,ja-Hrkt,ほりかけばし
堀懸橋,en,Horikakebashi
塞神,ja,塞神
塞神,ja-Hrkt,さいのかみ
塞神,en,Sainokami
夏焼,ja,夏焼
夏焼,ja-Hrkt,なつやけ
夏焼,en,Natsuyake
夏焼旧集会所,ja,夏焼旧集会所
夏焼旧集会所,ja-Hrkt,なつやけきゅうしゅうかいじょ
夏焼旧集会所,en,Natsuyake kyu shukaijo
外戸尻,ja,外戸尻
外戸尻,ja-Hrkt,がいとじり
外戸尻,en,Gaitojiri
外洞,ja,外洞
外洞,ja-Hrkt,そでぼら
外洞,en,Sodebora
夜明け大橋,ja,夜明け大橋
夜明け大橋,ja-Hrkt,よあけおおはし
夜明け大橋,en,Yoake ohashi
大山神社,ja,大山神社
大山神社,ja-Hrkt,おおやまじんじゃ
大山神社,en,Ooyamajinjya
大岩,ja,大岩
大岩,ja-Hrkt,おおいわ
大岩,en,Oiwa
大杉スクールバス停,ja,大杉スクールバス停
大杉スクールバス停,ja-Hrkt,おおすぎすくーるばすてい
大杉スクールバス停,en,Osugi school basutei
大根木,ja,大根木
大根木,ja-Hrkt,おおねぎ
大根木,en,Oonegi
大荷付場,ja,大荷付場
大荷付場,ja-Hrkt,おおにつけば
大荷付場,en,Onitsukeba
大萱,ja,大萱
大萱,ja-Hrkt,おおがや
大萱,en,Ogaya
大起口,ja,大起口
大起口,ja-Hrkt,おごせぐち
大起口,en,Ogoseguchi
大野ゴウロ,ja,大野ゴウロ
大野ゴウロ,ja-Hrkt,おおのごうろ
大野ゴウロ,en,Onogouro
大野八幡神社,ja,大野八幡神社
大野八幡神社,ja-Hrkt,おおのはちまんじんじゃ
大野八幡神社,en,Ono hachiman jinja
大黒屋,ja,大黒屋
大黒屋,ja-Hrkt,だいこくや
大黒屋,en,daikokuya
太陽建設,ja,太陽建設
太陽建設,ja-Hrkt,たいようけんせつ
太陽建設,en,Taiyo kensetsu
奈良井辻,ja,奈良井辻
奈良井辻,ja-Hrkt,ならいつじ
奈良井辻,en,Naraitsuji
奥渡公民館,ja,奥渡公民館
奥渡公民館,ja-Hrkt,おくどこうみんかん
奥渡公民館,en,Okudo kouminkan
子安神社,ja,子安神社
子安神社,ja-Hrkt,こやすじんじゃ
子安神社,en,Koyasu jinja
学園前,ja,学園前
学園前,ja-Hrkt,がくえんまえ
学園前,en,Gakuen-mae
安楽満,ja,安楽満
安楽満,ja-Hrkt,あらま
安楽満,en,Arama
安江造園前,ja,安江造園前
安江造園前,ja-Hrkt,やすえぞうえんまえ
安江造園前,en,Yasuezouen-mae
安田屋,ja,安田屋
安田屋,ja-Hrkt,やすだや
安田屋,en,Yasudaya
宗敦寺,ja,宗敦寺
宗敦寺,ja-Hrkt,そうとんじ
宗敦寺,en,Soutonji
宮の上,ja,宮の上
宮の上,ja-Hrkt,みやのうえ
宮の上,en,Miyanoue
宮の上集会所,ja,宮の上集会所
宮の上集会所,ja-Hrkt,みやのうえしゅうかいじょ
宮の上集会所,en,Miyanoue shukaijo
宮の洞,ja,宮の洞
宮の洞,ja-Hrkt,みやのほら
宮の洞,en,Miyanohora
宮田整田碑,ja,宮田整田碑
宮田整田碑,ja-Hrkt,みやたせいでんひ
宮田整田碑,en,Miyada seidenhi
宮脇,ja,宮脇
宮脇,ja-Hrkt,みやわき
宮脇,en,Miyawaki
宮裏,ja,宮裏
宮裏,ja-Hrkt,みやうら
宮裏,en,Miyaura
寺地前,ja,寺地前
寺地前,ja-Hrkt,てらちまえ
寺地前,en,Terachi-mae
寺尾洞,ja,寺尾洞
寺尾洞,ja-Hrkt,てらおぼら
寺尾洞,en,Teraobora
小池三叉路,ja,小池三叉路
小池三叉路,ja-Hrkt,こいけさんさろ
小池三叉路,en,Koikesansaro
小池旧集会所,ja,小池旧集会所
小池旧集会所,ja-Hrkt,こいけきゅうしゅうかいじょ
小池旧集会所,en,Koike kyu shukaijo
小玉石,ja,小玉石
小玉石,ja-Hrkt,こだまいし
小玉石,en,Kodamaishi
小田,ja,小田
小田,ja-Hrkt,こだ
小田,en,Koda
小田垣外,ja,小田垣外
小田垣外,ja-Hrkt,こだがいと
小田垣外,en,Kodagaito
小郷西スクールバス停,ja,小郷西スクールバス停
小郷西スクールバス停,ja-Hrkt,おごうにしすくーるばすてい
小郷西スクールバス停,en,Ogounishi school basutei
小郷農道記念碑,ja,小郷農道記念碑
小郷農道記念碑,ja-Hrkt,おごうのうどうきねんひ
小郷農道記念碑,en,Ogou noudou kinenhi
小野沢,ja,小野沢
小野沢,ja-Hrkt,おのさわ
小野沢,en,Onosawa
尾ヶ平,ja,尾ヶ平
尾ヶ平,ja-Hrkt,おがひら
尾ヶ平,en,Ogahira
尾越,ja,尾越
尾越,ja-Hrkt,おこし
尾越,en,Okoshi
山の上辻,ja,山の上辻
山の上辻,ja-Hrkt,やまのうえつじ
山の上辻,en,Yamanoue tsuji
山ノ田,ja,山ノ田
山ノ田,ja-Hrkt,やまのだ
山ノ田,en,Yamanoda
山の田大橋,ja,山の田大橋
山の田大橋,ja-Hrkt,やまのたおおはし
山の田大橋,en,Yamanota ohashi
山の神,ja,山の神
山の神,ja-Hrkt,やまのかみ
山の神,en,Yamanokami
山中,ja,山中
山中,ja-Hrkt,やまなか
山中,en,Yamanaka
山中弘法堂,ja,山中弘法堂
山中弘法堂,ja-Hrkt,やまなかこうほうどう
山中弘法堂,en,Yamanaka kouhoudo
山之田住宅,ja,山之田住宅
山之田住宅,ja-Hrkt,やまのたじゅうたく
山之田住宅,en,Yamanota jutaku
山本集会所,ja,山本集会所
山本集会所,ja-Hrkt,やまもとしゅうかいじょ
山本集会所,en,Yamamono shukaijo
山野田クラブ,ja,山野田クラブ
山野田クラブ,ja-Hrkt,やまのたくらぶ
山野田クラブ,en,Yamanota kurabu
岩寿口,ja,岩寿口
岩寿口,ja-Hrkt,いわすぐち
岩寿口,en,Iwasu guchi
島平東,ja,島平東
島平東,ja-Hrkt,しまへいひがし
島平東,en,Shimahei-higashi
島平西,ja,島平西
島平西,ja-Hrkt,しまへいにし
島平西,en,Shimahei-nishi
島田橋,ja,島田橋
島田橋,ja-Hrkt,しまだばし
島田橋,en,Shimadabashi
平保海戸口,ja,平保海戸口
平保海戸口,ja-Hrkt,へぼがいとぐち
平保海戸口,en,Hebogaitoguchi
広岡公民館,ja,広岡公民館
広岡公民館,ja-Hrkt,ひろおかこうみんかん
広岡公民館,en,Hirooka kouminkan
広島野住宅,ja,広島野住宅
広島野住宅,ja-Hrkt,ひろしまのじゅうたく
広島野住宅,en,Hiroshimano jutaku
広野,ja,広野
広野,ja-Hrkt,ひろの
広野,en,Hirono
弘法様,ja,弘法様
弘法様,ja-Hrkt,こうぼうさま
弘法様,en,Koubousama
彩の里,ja,彩の里
彩の里,ja-Hrkt,あやのさと
彩の里,en,Ayanosato
御殿山,ja,御殿山
御殿山,ja-Hrkt,ごてんやま
御殿山,en,Gotenyama
徳野,ja,徳野
徳野,ja-Hrkt,とくの
徳野,en,Tokuno
恵乃裾橋,ja,恵乃裾橋
恵乃裾橋,ja-Hrkt,えのすそばし
恵乃裾橋,en,Enosusobashi
成栗,ja,成栗
成栗,ja-Hrkt,なりくり
成栗,en,Narikuri
握公会堂下,ja,握公会堂下
握公会堂下,ja-Hrkt,にぎりこうかいどうした
握公会堂下,en,Nigiri kokaido-shita
握坂,ja,握坂
握坂,ja-Hrkt,にぎりざか
握坂,en,Nigirizaka
攻橋,ja,攻橋
攻橋,ja-Hrkt,せめばし
攻橋,en,Semebashi
文化センター,ja,文化センター
文化センター,ja-Hrkt,ぶんかせんたー
文化センター,en,Bunka Center
新田クラブ,ja,新田クラブ
新田クラブ,ja-Hrkt,しんでんくらぶ
新田クラブ,en,Shinden kurabu
新田集会所,ja,新田集会所
新田集会所,ja-Hrkt,しんでんしゅうかいじょ
新田集会所,en,Shinden shukaijo
新聞販売店前,ja,新聞販売店前
新聞販売店前,ja-Hrkt,しんぶんはんばいてんまえ
新聞販売店前,en,Shinbun hanbaiten-mae
方外戸,ja,方外戸
方外戸,ja-Hrkt,ほうがいと
方外戸,en,Hougaito
日枯谷,ja,日枯谷
日枯谷,ja-Hrkt,ひがれや
日枯谷,en,Higareya
旧一色消防詰所,ja,旧一色消防詰所
旧一色消防詰所,ja-Hrkt,きゅういっしきしょうぼうつめしょ
旧一色消防詰所,en,Kyu isshiki shobo tsumesho
旧加子母郵便局前,ja,旧加子母郵便局前
旧加子母郵便局前,ja-Hrkt,きゅうかしもゆうびんきょくまえ
旧加子母郵便局前,en,Kyu Kashimo yubinkyoku-mae
旧桂川商店前,ja,旧桂川商店前
旧桂川商店前,ja-Hrkt,きゅうかつらがわしょうてんまえ
旧桂川商店前,en,Kyu Katsuragawa shoten-mae
旧消防詰所,ja,旧消防詰所
旧消防詰所,ja-Hrkt,きゅうしょうぼうつめしょ
旧消防詰所,en,Kyu shobotsumesho
旧蛭川幼稚園裏,ja,旧蛭川幼稚園裏
旧蛭川幼稚園裏,ja-Hrkt,きゅうひるかわようちえんうら
旧蛭川幼稚園裏,en,Kyu hirukawa youchien ura
明治座前,ja,明治座前
明治座前,ja-Hrkt,めいじざまえ
明治座前,en,Meijiza-mae
時鐘公会堂上,ja,時鐘公会堂上
時鐘公会堂上,ja-Hrkt,ときがねこうかいどううえ
時鐘公会堂上,en,Tokigane kokaido-ue
時鐘北,ja,時鐘北
時鐘北,ja-Hrkt,ときがねきた
時鐘北,en,Tokigane-kita
時鐘南,ja,時鐘南
時鐘南,ja-Hrkt,ときがねみなみ
時鐘南,en,Tokigane-minami
曙集会所,ja,曙集会所
曙集会所,ja-Hrkt,あけぼのしゅうかいじょ
曙集会所,en,Akebono shukaijo
曽我接骨院,ja,曽我接骨院
曽我接骨院,ja-Hrkt,そがせっこついん
曽我接骨院,en,Soga sekkotsuin
木積沢,ja,木積沢
木積沢,ja-Hrkt,きづみざわ
木積沢,en,Kidumizawa
木積沢橋,ja,木積沢橋
木積沢橋,ja-Hrkt,きづみざわばし
木積沢橋,en,Kidumizawabashi
本郷（坂下）,ja,本郷（坂下）
本郷（坂下）,ja-Hrkt,ほんごう
本郷（坂下）,en,Hougo
本郷（福岡）,ja,本郷（福岡）
本郷（福岡）,ja-Hrkt,ほんごう
本郷（福岡）,en,Hougo
札場,ja,札場
札場,ja-Hrkt,ふだば
札場,en,Fudaba
東海食品,ja,東海食品
東海食品,ja-Hrkt,とうかいしょくひん
東海食品,en,Toukaishokuhin
東濃森林管理署,ja,東濃森林管理署
東濃森林管理署,ja-Hrkt,とうのうしんりんかんりしょ
東濃森林管理署,en,Tounou shinrin kanrisho
東町,ja,東町
東町,ja-Hrkt,ひがしまち
東町,en,Higashimachi
東町住宅,ja,東町住宅
東町住宅,ja-Hrkt,ひがしまちじゅうたく
東町住宅,en,higashimachi jutaku
東組,ja,東組
東組,ja-Hrkt,ひがしぐみ
東組,en,Higashigumi
東鉄バス終点,ja,東鉄バス終点
東鉄バス終点,ja-Hrkt,とうてつばすしゅうてん
東鉄バス終点,en,Toutetsu bus shuten
東鉄バス車庫,ja,東鉄バス車庫
東鉄バス車庫,ja-Hrkt,とうてつばすしゃこ
東鉄バス車庫,en,Toutetsu bus shako
松井石油店裏,ja,松井石油店裏
松井石油店裏,ja-Hrkt,まついせきゅうてんうら
松井石油店裏,en,Matsuisekyuten-ura
松尾口,ja,松尾口
松尾口,ja-Hrkt,まつおぐち
松尾口,en,Matsuoguchi
松尾旧集会所,ja,松尾旧集会所
松尾旧集会所,ja-Hrkt,まつおきゅうしゅうかいじょ
松尾旧集会所,en,Matsuo kyu shukaijo
松源地,ja,松源地
松源地,ja-Hrkt,しょうげんじ
松源地,en,Shogenji
